CASENUM,VEH_NO,TRAILER_NO,VehicleDescriptor,VINDecodedOn,VINDecodeError,VehicleTypeId,VehicleType,ManufacturerFullNameId,ManufacturerFullName,MakeId,Make,ModelId,Model,ModelYear,Series,Trim,PlantCountryId,PlantCountry,PlantState,PlantCity,PlantCompanyName,Note,BodyClassId,BodyClass,GrossVehicleWeightRatingFromId,GrossVehicleWeightRatingFrom,GrossVehicleWeightRatingToId,GrossVehicleWeightRatingTo,TrailerBodyTypeId,TrailerBodyType,TrailerTypeConnectionId,TrailerTypeConnection,TrailerLengthFT,OtherTrailerInfo,AxlesCount,AxleConfigurationId,AxleConfiguration
202103315324,1,1,1UNST422*CL******,2022-07-10 03:16:04,0,6,TRAILER,1739,"DRAGON PRODUCTS, LTD",956,DRAGON PRODUCTS,4976,Dragon Products,2012,,,6,UNITED STATES (USA),TEXAS,LAPORTE,,,61,Trailer,,,,,15,Tank Trailer,4,Straight Semi/Semi Trailer,42.000,,2,,
202103317407,1,1,1TTF532C*L3******,2022-07-10 03:16:04,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,27663,Combo Steel/Alum Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,53.000,,2,,
202103328545,2,1,1DW1A532*Ks******,2022-07-10 03:16:04,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2019,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202103328708,3,1,1DVDF252*YK******,2022-07-12 00:43:42,1,6,TRAILER,2353,KIEFER BUILT INC.,5329,KIEFER-BUILT,13633,Kiefer-Built,2000,,,6,UNITED STATES (USA),IOWA,KANAWHA,Kiefer Built Inc.,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,30,Other,25.000,Industrial,2,,
202103329720,2,1,3H3V532C*JT******,2022-07-10 03:16:04,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2018,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
202103331242,1,1,43ZBC219*N0******,2022-07-10 03:16:04,0,6,TRAILER,9978,"U-DUMP TRAILERS, LLC",7023,U-DUMP TRAILERS LLC,18655,U-Dump Trailers LLC,2022,,,6,UNITED STATES (USA),FLORIDA,OCALA,,,61,Trailer,,,,,3,Car Hauler Trailer,1,Ball Type Pull,21.000,,9,,
202103334394,1,1,5GLBE182*EC******,2022-07-10 03:16:04,0,6,TRAILER,15975,G.T. EXPRESS ENTERPRISES. INC.,5570,EXPRESS TRAILERS INC,14388,Express Trailers Inc,2014,,,6,UNITED STATES (USA),FLORIDA,CLEARWATER,,,61,Trailer,,,,,5,Enclosed Trailer,14,Bumper Pull,18.000,,2,,
202103337883,2,1,5MADS222*YC******,2022-07-10 03:16:04,0,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2000,,,6,UNITED STATES (USA),OHIO,ALLIANCE,,Commerce Street,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,,,22.000,Steel Frame,2,,
202103339853,2,1,1UYVS253*GU******,2022-07-10 03:16:04,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2016,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202103343198,2,1,7H2BE141*LD******,2022-07-10 03:16:04,0,6,TRAILER,17148,"TJCW, INC.",8360,ROCK SOLID CARGO,22203,Rock Solid Cargo,2020,,,6,UNITED STATES (USA),GEORGIA,DOUGLAS,,,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,14.000,,1,,
202103344400,2,1,1TTF482C*L3******,2022-07-10 03:16:04,0,6,TRAILER,8231,TRANSCRAFT CORPORATION,10511,TRANSCRAFT,27663,Combo Steel/Alum Flatbed,2020,,,6,UNITED STATES (USA),KENTUCKY,CADIZ,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,,2,,
202103345901,2,1,5V8VC532*KM******,2022-07-10 03:16:04,1,6,TRAILER,16522,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),6474,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),17782,VANGUARD NATIONAL TRAILER CORPORATION (VNTC),2019,,,6,UNITED STATES (USA),INDIANA,MONON,,,61,Trailer,,,,,,,,,53.000,Dry Freight Van,2,3,Tandem
202103349174,2,1,1M5BA191*H1******,2022-07-10 03:16:04,0,6,TRAILER,13552,MAGIC TILT TRAILERS INC.,4228,MAGIC TILT TRAILERS,9005,Magic Tilt Trailers,2017,,,6,UNITED STATES (USA),FLORIDA,CLEARWATER,,,61,Trailer,,,,,2,Boat Trailer,30,Other,19.000,,1,,
202103350827,1,1,1TDH4222*2B******,2022-07-10 03:16:04,0,6,TRAILER,8330,TIMPTE INC.,5331,"TIMPTE, INC",13636,Timpte,2002,,,6,UNITED STATES (USA),NEBRASKA,DAVID CITY,,"Seventh VIN position indicates the additional length of the trailer to the nearest inch up to 9 inches. If the additional length is 10 inches or more the seventh character is zero (0) and the sixth character will be increased to the next foot. For example : a 42ft 9in trailer will be represent in VIN position 5, 6 & 7 as ""429"" and a 42ft 10in. trailer will be represented in VIN position 5 , 6 & 7 as ""430"" respectively.",61,Trailer,,,,,174,Dry Bulk Trailer,,,42.000,Dry Bulk-Bottom Hopper,2,,
202103351265,1,1,5MAMN482*NW******,2022-07-10 03:16:04,0,6,TRAILER,5950,"MAC TRAILER MFG, INC.",6826,MAC TRAILER MANUFACTURING,18288,MAC TRAILER MANUFACTURING,2022,,,6,UNITED STATES (USA),OHIO,ALLIANCE,Main Street 70,,61,Trailer,,,,,141,Transfer Trailer,6,Kingpin,48.000,REFUSE TRAILERS (MOVER OR TIPPER STYLE),2,,
202103357152,2,1,5JYLP402*DP******,2022-07-10 03:16:04,0,6,TRAILER,2290,PITTS ENTERPRISES INC,2831,PITTS TRAILERS,6775,Pitts Trailers,2013,,,6,UNITED STATES (USA),ALABAMA,PITTSVIEW,,,61,Trailer,,,,,19,Logging Trailer,,,40.000,Trailer Type: Plantation,2,,
202103357180,1,1,4H100242*40******,2022-07-10 03:16:04,0,6,TRAILER,15657,HLT LIMITED,5298,HLT TRAILERS,13492,HLT TRAILERS,2004,,,6,UNITED STATES (USA),IOWA,HUMBOLDT,,,61,Trailer,,,,,2,Boat Trailer,,,24.000,RECREATIONAL TRAILER,2,,
202103357415,2,1,1UYVS253*K2******,2022-07-10 03:16:04,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2019,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
