iter	Passed	Remaining
304	16158	36820
305	16208	36760
306	16254	36691
307	16303	36628
308	16356	36577
309	16405	36516
310	16455	36455
311	16510	36408
312	16561	36350
313	16618	36307
314	16672	36255
315	16734	36221
316	16796	36188
317	16848	36133
318	16903	36086
319	16947	36012
320	16999	35957
321	17055	35912
322	17107	35857
323	17155	35792
324	17209	35742
325	17257	35679
326	17312	35630
327	17361	35569
328	17410	35509
329	17460	35450
330	17510	35392
331	17560	35331
332	17606	35266
333	17660	35215
334	17710	35156
335	17768	35113
336	17820	35058
337	17867	34994
338	17921	34944
339	17979	34901
340	18036	34856
341	18096	34816
342	18147	34761
343	18203	34713
344	18255	34658
345	18307	34605
346	18361	34554
347	18410	34493
348	18459	34433
349	18507	34371
350	18557	34312
351	18608	34257
352	18663	34207
353	18720	34161
354	18772	34107
355	18826	34057
356	18879	34003
357	18927	33942
358	18977	33885
359	19032	33835
360	19085	33782
361	19136	33726
362	19190	33675
363	19233	33606
364	19289	33557
365	19344	33508
366	19391	33445
367	19441	33388
368	19492	33331
369	19539	33269
370	19588	33211
371	19639	33155
372	19687	33093
373	19733	33030
374	19785	32975
375	19839	32925
376	19884	32859
377	19937	32807
378	19983	32743
379	20026	32675
380	20072	32611
381	20125	32558
382	20172	32497
383	20217	32431
384	20272	32382
385	20317	32318
386	20366	32259
387	20419	32208
388	20472	32155
389	20517	32090
390	20571	32040
391	20623	31987
392	20680	31941
393	20733	31889
394	20786	31836
395	20841	31789
396	20885	31723
397	20936	31667
398	20987	31612
399	21044	31566
