CASENUM,VEH_NO,TRAILER_NO,VEHICLEDESCRIPTOR,VINDECODEDON,VINDECODEERROR,VEHICLETYPEID,VEHICLETYPE,MANUFACTURERFULLNAMEID,MANUFACTURERFULLNAME,MAKEID,MAKE,MODELID,MODEL,MODELYEAR,SERIES,TRIM,PLANTCOUNTRYID,PLANTCOUNTRY,PLANTSTATE,PLANTCITY,PLANTCOMPANYNAME,NONLANDUSEID,NONLANDUSE,NOTE,BODYCLASSID,BODYCLASS,GROSSVEHICLEWEIGHTRATINGFROMID,GROSSVEHICLEWEIGHTRATINGFROM,GROSSVEHICLEWEIGHTRATINGTOID,GROSSVEHICLEWEIGHTRATINGTO,TRAILERBODYTYPEID,TRAILERBODYTYPE,TRAILERTYPECONNECTIONID,TRAILERTYPECONNECTION,TRAILERLENGTHFT,OTHERTRAILERINFO,AXLESCOUNT,AXLECONFIGURATIONID,AXLECONFIGURATION
202304943226,1,1,1UYVS253*N6******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304943510,2,1,3H3V482C*LT******,2024-08-02 03:06:25,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2020,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,36,Van Trailer,,,48.000,Material: Aluminum/Steel,2,,
202304943865,3,1,5R8BU202*JM******,2024-08-02 03:06:25,0,6,TRAILER,10758,"MAXEY TRAILERS MFG., INC.",8628,MAXEY TRAILERS MFG,22643,Maxey Trailers MFG,2018,,,6,UNITED STATES (USA),TEXAS,MAXEY,,,,,61,Trailer,,,,,16,Utility Trailer,14,Bumper Pull,20.000,Flatbed Trailer,2,,
202304945132,2,1,5E0AA144*LG******,2024-08-02 03:06:25,0,6,TRAILER,20895,"COTTRELL, INC.",12482,COTTRELL,32567,"C-09, C-11, CS-10, CS-12M3, CX-09, CX-5LSCH, CX-AK7, CX-LSFA-TRI",2020,,,6,UNITED STATES (USA),GEORGIA,GAINESVILLE,,,,,61,Trailer,,,,,3,Car Hauler Trailer,5,Fifth Wheel,,Trailer Length (feet): 44-46,2,3,Tandem
202304949257,1,1,1GRAA062*FT******,2024-08-02 03:06:25,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,1985,,,6,UNITED STATES (USA),INDIANA,TERRE HAUTE,,,,Effective 03/01/00,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,6.000,Dry Freight / Reefer / Insulated Van,2,,
202304951638,2,1,1E1F9K28*1R******,2024-08-02 03:06:25,0,6,TRAILER,5338,EAST MANUFACTURING CORP.,1334,EAST MANUFACTURING CORP.,4686,East Manufacturing Corp,2001,,,6,UNITED STATES (USA),OHIO,RANDOLPH,,,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,,,,,24.000,Frameless Trailer,2,,
202304955553,1,1,1UYVS253*FU******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2015,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304955553,2,1,1UYVS253*GU******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2016,,,6,UNITED STATES (USA),UTAH,CLEARFIELD,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304961331,1,1,3H3V532K*PJ******,2024-08-02 03:06:25,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2023,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,Body Type: SEMITRAILER,61,Trailer,,,,,36,Van Trailer,6,Kingpin,53.000,,2,,
202304961824,1,1,1GRAA062*BT******,2024-08-02 03:06:25,0,6,TRAILER,1073,GREAT DANE TRAILERS,520,GREAT DANE TRAILERS,13436,Great Dane Trailers,2011,,,6,UNITED STATES (USA),INDIANA,TERRE HAUTE,,,,Effective 03/01/00,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,Dry Freight/ Reefer/ Insulated Van,2,,
202304964483,1,1,3H3V532C*DT******,2024-08-02 03:06:25,0,6,TRAILER,14282,"HYUNDAI DE MEXICO, S.A. DE C.V.",4876,HYUNDAI TRANSLEAD TRAILERS,11496,Hyundai Translead Trailers,2013,,,12,MEXICO,BAJA CALIFORNIA,TIJUANA,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,Material: Aluminum/Steel,2,,
202304965958,2,1,1M5BA222*P1******,2024-08-02 03:06:25,0,6,TRAILER,13552,MAGIC TILT TRAILERS INC.,4228,MAGIC TILT TRAILERS,9005,Magic Tilt Trailers,2023,,,6,UNITED STATES (USA),FLORIDA,CLEARWATER,,,,,61,Trailer,,,,,2,Boat Trailer,30,Other,22.000,,2,,
202304965971,2,1,16V1D212*M5******,2024-08-02 03:06:25,0,6,TRAILER,9132,"BIG TEX TRAILER MANUFACTURING, LLC",1136,BIG TEX,5625,Big Tex,2021,,,6,UNITED STATES (USA),OKLAHOMA,MADILL,"Big Tex Trailer Manufacturing, Inc.",,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,14,Bumper Pull,21.000,,2,,
202304966543,1,1,1DW1A532*CS******,2024-08-02 03:06:25,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2012,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304967588,2,1,5M3BE202*B1******,2024-08-02 03:06:25,0,6,TRAILER,2888,MIRAGE TRAILERS LLC,4267,MIRAGE TRAILERS,9049,Mirage Trailers,2011,,,6,UNITED STATES (USA),IDAHO,NAMPA,,,,,61,Trailer,,,,,5,Enclosed Trailer,1,Ball Type Pull,20.000,,2,,
202304968197,1,1,1JJV532D*LL******,2024-08-02 03:06:25,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202304968761,2,1,1JJV532D*LL******,2024-08-02 03:06:25,0,6,TRAILER,14508,WABASH NATIONAL CORPORATION,12319,WABASH VANS,10942,Dry Van Duraplate,2020,,,6,UNITED STATES (USA),INDIANA,LAFAYETTE,,,,,61,Trailer,,,,,36,Van Trailer,,,53.000,,2,,
202304969620,1,1,1UYFS248*6A******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2006,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,48.000,,2,,
202304969620,2,1,1UYVS253*H6******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2017,,,6,UNITED STATES (USA),VIRGINIA,MARION,,,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
202304970165,1,1,48X1F372*M1******,2024-08-02 03:06:25,0,6,TRAILER,10839,"TRAVIS BODY & TRAILER, INC.",3520,"TRAVIS BODY & TRAILER, INC.",7868,"TRAVIS BODY & TRAILER, INC.",2021,,,6,UNITED STATES (USA),TEXAS,HOUSTON,,,,,61,Trailer,,,,,4,Dump Trailer/Dumping Trailer,30,Other,37.000,Tumer ARx43,2,,
202304970165,3,1,1RNF48A2*HR******,2024-08-02 03:06:25,0,6,TRAILER,3579,"REITNOUER, INC.",5594,REITNOUER INC,14493,Reitnouer Inc Trailers,2017,,,6,UNITED STATES (USA),PENNSYLVANIA,READING,,,,,61,Trailer,9,"Class 8: 33,001 lb and above (14,969 kg and above)",,,6,Flat Bed Trailer/Platform Trailer,6,Kingpin,48.000,Airride,2,,
202304971617,1,2,1DW1A281*FS******,2024-08-02 03:06:25,0,6,TRAILER,13506,"STOUGHTON TRAILERS, INC.",3414,STOUGHTON TRAILERS,7701,Stoughton trailers,2015,,,6,UNITED STATES (USA),WISCONSIN,STOUGHTON,"Stoughton Trailers, INC",,,,61,Trailer,,,,,36,Van Trailer,4,Straight Semi/Semi Trailer,28.000,,1,,
202304975838,1,1,1S9E0121*L1303***,2024-08-02 03:06:25,0,6,TRAILER,13596,"SUN COAST TRAILER MANUFACTURERS, INC.",4343,SUN COAST TRAILER,9147,Sun Coast Trailer,2020,,,6,UNITED STATES (USA),FLORIDA,CORAL SPRINGS,"Sun Coast Trailer Manufacturers, Inc.",,,,61,Trailer,,,,,5,Enclosed Trailer,,,12.000,,1,,
202304979969,2,1,1UYFS253*N5******,2024-08-02 03:06:25,0,6,TRAILER,10289,UTILITY TRAILER MANUFACTURING COMPANY,10138,UTILITY TRAILER MANUFACTURER,26222,Utility Trailer Manufacturer,2022,,,6,UNITED STATES (USA),ALABAMA,ENTERPRISE,,,,,61,Trailer,,,,,6,Flat Bed Trailer/Platform Trailer,4,Straight Semi/Semi Trailer,53.000,,2,,
